defect_id,product,defect_type,severity,inspection_date,plant,lot_number,action_taken,source
DEF-SEED001,Hydraulic Pump Assembly,crack,critical,2024-01-15,Plant A,LOT-1001,Replaced assembly and conducted pressure test,seed
DEF-SEED002,Control Valve Body,corrosion,high,2024-01-20,Plant A,LOT-1002,Cleaned treated and re-inspected,seed
DEF-SEED003,Actuator Rod,wear,medium,2024-01-25,Plant B,LOT-1003,Replaced worn component within tolerance,seed
DEF-SEED004,Electrical Connector,contamination,high,2024-02-01,Plant B,LOT-1004,Cleaned with IPA and re-seated,seed
DEF-SEED005,Bracket Assembly,misalignment,low,2024-02-05,Plant C,LOT-1005,Realigned to specification and retorqued,seed
DEF-SEED006,Filter Housing,fatigue,critical,2024-02-10,Plant A,LOT-1006,Replaced housing submitted for metallurgical analysis,seed
DEF-SEED007,Sensor Module,short circuit,high,2024-02-15,Plant C,LOT-1007,Replaced sensor calibrated replacement,seed
DEF-SEED008,Manifold Block,leakage,high,2024-02-20,Plant B,LOT-1008,Replaced seals pressure-tested to 150% working pressure,seed
DEF-SEED009,Bearing Assembly,vibration,medium,2024-02-25,Plant A,LOT-1009,Replaced bearing balanced assembly,seed
DEF-SEED010,Piston Rod,delamination,critical,2024-03-01,Plant B,LOT-1010,Condemned part raised NCR engineering review,seed
DEF-SEED011,Compressor Housing,erosion,medium,2024-03-05,Plant C,LOT-1011,Applied protective coating increased inspection interval,seed
DEF-SEED012,Relay Module,overheating,high,2024-03-10,Plant A,LOT-1012,Replaced relay verified cooling airflow,seed
DEF-SEED013,Seal Assembly,leakage,high,2024-03-15,Plant B,LOT-1013,Replaced all seals in assembly,seed
DEF-SEED014,Hydraulic Cylinder,crack,critical,2024-03-20,Plant C,LOT-1014,NDE confirmed crack depth replaced cylinder,seed
DEF-SEED015,Wiring Harness,contamination,medium,2024-03-25,Plant A,LOT-1015,Cleaned replaced affected segments,seed
DEF-SEED016,Pump Impeller,wear,high,2024-04-01,Plant B,LOT-1016,Replaced impeller measured clearances,seed
DEF-SEED017,Avionics Box,short circuit,critical,2024-04-05,Plant C,LOT-1017,Replaced unit returned to OEM for analysis,seed
DEF-SEED018,Frame Bracket,fatigue,medium,2024-04-10,Plant A,LOT-1018,Replaced bracket added inspection interval,seed
DEF-SEED019,Fuel Valve,corrosion,high,2024-04-15,Plant B,LOT-1019,Overhauled valve bench-tested to specification,seed
DEF-SEED020,Landing Gear Actuator,misalignment,low,2024-04-20,Plant C,LOT-1020,Realigned rigged per AMM and operational tested,seed
DEF-SEED021,Engine Mount,crack,critical,2024-04-25,Plant A,LOT-1021,Replaced mount borescope inspection of adjacent structure,seed
DEF-SEED022,Control Surface Hinge,wear,medium,2024-05-01,Plant B,LOT-1022,Replaced hinge pins and bushings,seed
DEF-SEED023,Oxygen Regulator,leakage,high,2024-05-05,Plant C,LOT-1023,Overhauled regulator flow-tested at altitude simulation,seed
DEF-SEED024,Brake Assembly,contamination,medium,2024-05-10,Plant A,LOT-1024,Cleaned brake assembly replaced pads,seed
